refYear,reporterISO,reporterDesc,partnerISO,partnerDesc,qty
2024,ALB,Albania,W00,World,553
2024,ALB,Albania,GBR,United Kingdom,553
2024,AGO,Angola,W00,World,735727.76
2024,AGO,Angola,AND,Andorra,20
2024,AGO,Angola,AZE,Azerbaijan,400
2024,AGO,Angola,ARG,Argentina,509
2024,AGO,Angola,BEL,Belgium,90
2024,AGO,Angola,BRA,Brazil,1960.71
2024,AGO,Angola,BGR,Bulgaria,1867
2024,AGO,Angola,CMR,Cameroon,57
2024,AGO,Angola,CAN,Canada,895
2024,AGO,Angola,CPV,Cabo Verde,400
2024,AGO,Angola,TCD,Chad,22000
2024,AGO,Angola,CHN,China,25
2024,AGO,Angola,COL,Colombia,81
2024,AGO,Angola,COG,Congo,100
2024,AGO,Angola,COD,Dem. Rep. of the Congo,405532
2024,AGO,Angola,CUB,Cuba,185113
2024,AGO,Angola,DNK,Denmark,454
2024,AGO,Angola,ECU,Ecuador,111
2024,AGO,Angola,ERI,Eritrea,1558
2024,AGO,Angola,FRA,France,5553.29
2024,AGO,Angola,GAB,Gabon,400
2024,AGO,Angola,GMB,Gambia,692
2024,AGO,Angola,DEU,Germany,15
2024,AGO,Angola,ITA,Italy,272
2024,AGO,Angola,CIV,C�te d'Ivoire,400
2024,AGO,Angola,JAM,Jamaica,64
2024,AGO,Angola,JPN,Japan,39
2024,AGO,Angola,KEN,Kenya,265.85
2024,AGO,Angola,MRT,Mauritania,59
2024,AGO,Angola,MEX,Mexico,104
2024,AGO,Angola,MAR,Morocco,400
2024,AGO,Angola,MOZ,Mozambique,1056
2024,AGO,Angola,NAM,Namibia,75868.8
2024,AGO,Angola,NGA,Nigeria,2316
2024,AGO,Angola,PRT,Portugal,2686
2024,AGO,Angola,GNB,Guinea-Bissau,400
2024,AGO,Angola,STP,Sao Tome and Principe,13182.2
2024,AGO,Angola,SAU,Saudi Arabia,50
2024,AGO,Angola,IND,India,400
2024,AGO,Angola,SGP,Singapore,33
2024,AGO,Angola,VNM,Viet Nam,72
2024,AGO,Angola,ZAF,South Africa,2660
2024,AGO,Angola,ZWE,Zimbabwe,478
2024,AGO,Angola,ESP,Spain,800
2024,AGO,Angola,SWE,Sweden,4
2024,AGO,Angola,CHE,Switzerland,477
2024,AGO,Angola,ARE,United Arab Emirates,248.62
2024,AGO,Angola,TUR,T�rkiye,1201
2024,AGO,Angola,UGA,Uganda,308
2024,AGO,Angola,UKR,Ukraine,62
2024,AGO,Angola,GBR,United Kingdom,475.5
2024,AGO,Angola,USA,USA,2813.79
2024,AGO,Angola,ZMB,Zambia,687
2024,AGO,Angola,_X ,"Areas, nes",12
2024,ATG,Antigua and Barbuda,W00,World,0
2024,ATG,Antigua and Barbuda,BRB,Barbados,326.4
2024,ATG,Antigua and Barbuda,CRI,Costa Rica,123.18
2024,ATG,Antigua and Barbuda,FIN,Finland,650
2024,ATG,Antigua and Barbuda,GRC,Greece,25
2024,ATG,Antigua and Barbuda,KNA,Saint Kitts and Nevis,50.6
2024,ATG,Antigua and Barbuda,LCA,Saint Lucia,10
2024,ATG,Antigua and Barbuda,VCT,Saint Vincent and the Grenadines,110
2024,ATG,Antigua and Barbuda,SUR,Suriname,116.35
2024,ATG,Antigua and Barbuda,TTO,Trinidad and Tobago,570
2024,ATG,Antigua and Barbuda,GBR,United Kingdom,0
2024,ATG,Antigua and Barbuda,USA,USA,1963.29
2024,AZE,Azerbaijan,W00,World,45077.5
2024,AZE,Azerbaijan,AGO,Angola,210
2024,AZE,Azerbaijan,AUT,Austria,548
2024,AZE,Azerbaijan,BGD,Bangladesh,176
2024,AZE,Azerbaijan,BGR,Bulgaria,3059
2024,AZE,Azerbaijan,CAN,Canada,163
2024,AZE,Azerbaijan,COL,Colombia,267
2024,AZE,Azerbaijan,CZE,Czechia,195
2024,AZE,Azerbaijan,DNK,Denmark,458
2024,AZE,Azerbaijan,FIN,Finland,161
2024,AZE,Azerbaijan,FRA,France,643
2024,AZE,Azerbaijan,GEO,Georgia,1024.2
2024,AZE,Azerbaijan,DEU,Germany,4471.8
